"","site","site_name","flow_age_my","specimen_code","collection_code","tree","tray","date_collected","class","order","family","species_code","genus","species","trophic","origin","stage","lengthmm","abundance","ind_biom"
"1","KA","Alakaʻi",4.1,"1214-001","KA9701-1",1,1,"10/29/97","Insecta","Coleoptera","Ciidae","ciscali","Cis","calidus","D","endemic","adult",NA,1,0.0947
"2","KA","Alakaʻi",4.1,"1214-002","KA9701-1",1,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"3","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"4","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"5","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"6","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"7","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"8","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"9","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"10","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"11","KA","Alakaʻi",4.1,"1215-001","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"12","KA","Alakaʻi",4.1,"1215-002","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"13","KA","Alakaʻi",4.1,"1215-002","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"14","KA","Alakaʻi",4.1,"1215-002","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"15","KA","Alakaʻi",4.1,"1215-002","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"16","KA","Alakaʻi",4.1,"1215-002","KA9701-1",1,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"17","KA","Alakaʻi",4.1,"1216-001","KA9701-1",1,1,"10/29/97","Insecta","Coleoptera","Nitidulidae","eupeimpr","Eupetinus","impressus","D","endemic","adult",NA,1,0.462
"18","KA","Alakaʻi",4.1,"1216-002","KA9701-1",1,1,"10/29/97","Insecta","Coleoptera","Nitidulidae","nesoflor","Nesopeplus","floricola","D","endemic","adult",NA,1,0.2918
"19","KA","Alakaʻi",4.1,"1217-001","KA9701-1",1,1,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",1,1,0.0206
"20","KA","Alakaʻi",4.1,"1217-002","KA9701-1",1,1,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",2,1,0.1399
"21","KA","Alakaʻi",4.1,"1218-001","KA9701-1",1,1,"10/29/97","Insecta","Heteroptera","Miridae","nesiehu","Nesiomiris","ehu","T","endemic","adult",4,1,0.3288
"22","KA","Alakaʻi",4.1,"1218-001","KA9701-1",1,1,"10/29/97","Insecta","Heteroptera","Miridae","nesiehu","Nesiomiris","ehu","T","endemic","adult",4,1,0.3288
"23","KA","Alakaʻi",4.1,"1219-001","KA9701-1",1,1,"10/29/97","Insecta","Lepidoptera","Oecophoridae","thyrjsu4","Thyrocopa","larval sp_4","D","endemic","immature",6,1,0.6439
"24","KA","Alakaʻi",4.1,"1219-002","KA9701-1",1,1,"10/29/97","Malacostraca","Amphipoda","Talitridae","hawagagn","Hawaiorchestia","nr_gagnei","D","endemic","adult",6,1,1.0763
"25","KA","Alakaʻi",4.1,"1220-001","KA9701-2",1,2,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","P","endemic","adult",3,1,0.1905
"26","KA","Alakaʻi",4.1,"1221-001","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisevan","Cis","evanescens","D","endemic","adult",NA,1,0.0452
"27","KA","Alakaʻi",4.1,"1221-002","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Ciidae","cissign","Cis","signatus","D","endemic","adult",NA,1,0.173
"28","KA","Alakaʻi",4.1,"1221-003","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"29","KA","Alakaʻi",4.1,"1221-004","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"30","KA","Alakaʻi",4.1,"1221-005","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"31","KA","Alakaʻi",4.1,"1221-006","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"32","KA","Alakaʻi",4.1,"1221-007","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"33","KA","Alakaʻi",4.1,"1221-008","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"34","KA","Alakaʻi",4.1,"1221-009","KA9701-2",1,2,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"35","KA","Alakaʻi",4.1,"1222-001","KA9701-2",1,2,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrkaua","Tetragnatha","kauaiensis","P","endemic","immature",3,1,0.5227
"36","KA","Alakaʻi",4.1,"1223-001","KA9701-2",1,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"37","KA","Alakaʻi",4.1,"1223-002","KA9701-2",1,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"38","KA","Alakaʻi",4.1,"1223-002","KA9701-2",1,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"39","KA","Alakaʻi",4.1,"1223-002","KA9701-2",1,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"40","KA","Alakaʻi",4.1,"1223-002","KA9701-2",1,2,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"41","KA","Alakaʻi",4.1,"1224-001","KA9701-2",1,2,"10/29/97","Insecta","Diptera","Sciaridae","scianpu1","Sciaridae_g","n_sp_1","D","undetermined","adult",2,1,0.091
"42","KA","Alakaʻi",4.1,"1224-001","KA9701-2",1,2,"10/29/97","Insecta","Diptera","Sciaridae","scianpu1","Sciaridae_g","n_sp_1","D","undetermined","adult",2,1,0.091
"43","KA","Alakaʻi",4.1,"1224-002","KA9701-2",1,2,"10/29/97","Insecta","Diptera","Sciaridae","ctenhawa","Ctenosciara","hawaiiensis","D","endemic","adult",2,1,0.091
"44","KA","Alakaʻi",4.1,"1224-003","KA9701-2",1,2,"10/29/97","Insecta","Diptera","Ceratopogonidae","dasyhawa","Dasyhelea","hawaiiensis","D","endemic","adult",1,1,0.0153
"45","KA","Alakaʻi",4.1,"1225-001","KA9701-2",1,2,"10/29/97","Insecta","Orthoptera","Gryllidae","trigproc","Trigonidium","procrustum","D","endemic","adult",7,1,3.5818
"46","KA","Alakaʻi",4.1,"1226-001","KA9701-2",1,2,"10/29/97","Malacostraca","Isopoda","ISOPOD","isopunID","Isopoda_g","sp_undet","D","undetermined","immature",2,1,0.1038
"47","KA","Alakaʻi",4.1,"1226-002","KA9701-2",1,2,"10/29/97","Insecta","Lepidoptera","Oecophoridae","thyrjsu4","Thyrocopa","larval sp_4","D","endemic","immature",7,1,0.8407
"48","KA","Alakaʻi",4.1,"1227-001","KA9701-3",1,3,"10/29/97","Insecta","Coleoptera","Staphylinidae","oligspu2","Oligota","sp_2","P","endemic","adult",1,1,0.0708
"49","KA","Alakaʻi",4.1,"1227-002","KA9701-3",1,3,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","D","endemic","adult",NA,1,0.1238
"50","KA","Alakaʻi",4.1,"1227-003","KA9701-3",1,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu17","Proterhinus","sp_17","D","endemic","adult",NA,1,0.934
"51","KA","Alakaʻi",4.1,"1227-004","KA9701-3",1,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu25","Proterhinus","sp_25","D","endemic","adult",NA,1,0.28
"52","KA","Alakaʻi",4.1,"1228-001","KA9701-3",1,3,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"53","KA","Alakaʻi",4.1,"1229-001","KA9701-3",1,3,"10/29/97","Insecta","Hymenoptera","Encyrtidae","plaghosp","Plagiomeris","hospes","P","adventive","adult",1,1,0.0139
"54","KA","Alakaʻi",4.1,"1229-002","KA9701-3",1,3,"10/29/97","Insecta","Hymenoptera","Mymaridae","polypyro","Polynema","pyrophila","P","endemic","adult",1,1,0.0139
"55","KA","Alakaʻi",4.1,"1229-003","KA9701-3",1,3,"10/29/97","Insecta","Hymenoptera","Eupelmidae","eupexesi","Eupelmus","xestias","P","endemic","adult",2,1,0.0725
"56","KA","Alakaʻi",4.1,"1229-004","KA9701-3",1,3,"10/29/97","Insecta","Hymenoptera","Pteromalidae","toxenubi","Toxeuma","nubilipennis","P","endemic","adult",2,1,0.0725
"57","KA","Alakaʻi",4.1,"1229-005","KA9701-3",1,3,"10/29/97","Insecta","Hymenoptera","Pteromalidae","toxenubi","Toxeuma","nubilipennis","P","endemic","adult",1,1,0.0139
"58","KA","Alakaʻi",4.1,"1230-004","KA9701-3",1,3,"10/29/97","Insecta","Heteroptera","Miridae","opunshar","Opuna","sharpianus luteus","H","endemic","adult",2,1,0.1594
"59","KA","Alakaʻi",4.1,"1231-001","KA9701-3",1,3,"10/29/97","Insecta","Diptera","Dolichopodidae","campnoro","Campsicnemus","norops","P","endemic","adult",2,1,0.091
"60","KA","Alakaʻi",4.1,"1231-002","KA9701-3",1,3,"10/29/97","Insecta","Diptera","Sciaridae","ctenhawa","Ctenosciara","hawaiiensis","D","endemic","adult",2,1,0.091
"61","KA","Alakaʻi",4.1,"1231-002","KA9701-3",1,3,"10/29/97","Insecta","Diptera","Sciaridae","ctenhawa","Ctenosciara","hawaiiensis","D","endemic","adult",2,1,0.091
"62","KA","Alakaʻi",4.1,"1232-001","KA9701-3",1,3,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrkaua","Tetragnatha","kauaiensis","P","endemic","immature",1,1,0.0433
"63","KA","Alakaʻi",4.1,"1232-002","KA9701-3",1,3,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrmaka","Tetragnatha","maka","P","endemic","immature",1,1,0.0433
"64","KA","Alakaʻi",4.1,"1234-001","KA9702-1",2,1,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",2,1,0.1399
"65","KA","Alakaʻi",4.1,"1234-001","KA9702-1",2,1,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",2,1,0.1399
"66","KA","Alakaʻi",4.1,"1234-001","KA9702-1",2,1,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","H","endemic","immature",2,1,0.1399
"67","KA","Alakaʻi",4.1,"1235-001","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Ciidae","cisevan","Cis","evanescens","D","endemic","adult",NA,1,0.0452
"68","KA","Alakaʻi",4.1,"1235-002","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"69","KA","Alakaʻi",4.1,"1235-003","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"70","KA","Alakaʻi",4.1,"1235-004","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"71","KA","Alakaʻi",4.1,"1235-005","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"72","KA","Alakaʻi",4.1,"1235-006","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"73","KA","Alakaʻi",4.1,"1235-007","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu19","Proterhinus","sp_19","D","endemic","adult",NA,1,0.274
"74","KA","Alakaʻi",4.1,"1235-008","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu25","Proterhinus","sp_25","D","endemic","adult",NA,1,0.28
"75","KA","Alakaʻi",4.1,"1235-009","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"76","KA","Alakaʻi",4.1,"1235-010","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"77","KA","Alakaʻi",4.1,"1235-011","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","D","endemic","adult",NA,1,0.169
"78","KA","Alakaʻi",4.1,"1235-012","KA9702-1",2,1,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","D","endemic","adult",NA,1,0.282
"79","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"80","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"81","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"82","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"83","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"84","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"85","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"86","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"87","KA","Alakaʻi",4.1,"1236-001","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","adult",2,1,0.0396
"88","KA","Alakaʻi",4.1,"1236-002","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"89","KA","Alakaʻi",4.1,"1236-002","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"90","KA","Alakaʻi",4.1,"1236-002","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"91","KA","Alakaʻi",4.1,"1236-002","KA9702-1",2,1,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","D","adventive","immature",1,1,0.0056
"92","KA","Alakaʻi",4.1,"1237-001","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrkaua","Tetragnatha","kauaiensis","P","endemic","immature",1,1,0.0433
"93","KA","Alakaʻi",4.1,"1237-001","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrkaua","Tetragnatha","kauaiensis","P","endemic","immature",1,1,0.0433
"94","KA","Alakaʻi",4.1,"1237-001","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrkaua","Tetragnatha","kauaiensis","P","endemic","immature",1,1,0.0433
"95","KA","Alakaʻi",4.1,"1237-002","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrkaua","Tetragnatha","kauaiensis","P","endemic","immature",2,1,0.1971
"96","KA","Alakaʻi",4.1,"1237-003","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrmaka","Tetragnatha","maka","P","endemic","immature",1,1,0.0433
"97","KA","Alakaʻi",4.1,"1237-003","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Tetragnathidae","tetrmaka","Tetragnatha","maka","P","endemic","immature",1,1,0.0433
"98","KA","Alakaʻi",4.1,"1237-004","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Linyphiidae","erigautu","Erigone","autumnalis","P","adventive","adult",2,1,0.2523
"99","KA","Alakaʻi",4.1,"1237-005","KA9702-1",2,1,"10/29/97","Arachnida","Araneae","Philodromidae","pagiatom","Pagiopalus","atomarius","P","endemic","immature",4,1,1.9146
"100","KA","Alakaʻi",4.1,"1238-001","KA9702-1",2,1,"10/29/97","Insecta","Diptera","Sciaridae","scianpu1","Sciaridae_g","n_sp_1","D","undetermined","adult",2,1,0.091
"101","KA","Alakaʻi",4.1,"1238-002","KA9702-1",2,1,"10/29/97","Insecta","Diptera","Sciaridae","sciaprom","Sciara","prominens","D","endemic","adult",1,1,0.0153
"102","KA","Alakaʻi",4.1,"1239-001","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Ichneumonidae","spoldeli","Spolas","delicata","P","endemic","adult",4,1,0.3782
"103","KA","Alakaʻi",4.1,"1239-002","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","P","endemic","adult",3,1,0.1905
"104","KA","Alakaʻi",4.1,"1239-003","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Aphelinidae","aphyspu1","Aphytis","sp_1","P","adventive","adult",1,1,0.0139
"105","KA","Alakaʻi",4.1,"1239-004","KA9702-1",2,1,"10/29/97","Insecta","Hymenoptera","Mymaridae","polypyro","Polynema","pyrophila","P","endemic","adult",1,1,0.0139
