"site","site_name","island","flow_age_my","island_age_my","npp","foliar_N","foliar_P","tree","date_collected","class","order","family","species_code","genus","species","trophic","origin","stage","individual_biomass_g"
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu28","Proterhinus","sp_28","detritivore","native-endemic","adult",0.386
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Diptera","Sciaridae","hypemagn","Hyperlasion","magnisensoria","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Diptera","Sciaridae","hypemagn","Hyperlasion","magnisensoria","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,3,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu25","Proterhinus","sp_25","detritivore","native-endemic","adult",0.28
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu28","Proterhinus","sp_28","detritivore","native-endemic","adult",0.386
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu28","Proterhinus","sp_28","detritivore","native-endemic","adult",0.386
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Diptera","Sciaridae","hypemagn","Hyperlasion","magnisensoria","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.0206
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Lepidoptera","LEPIDO","lepiagsu","Lep_g","moth spp","transient","undetermined","immature",0.8407
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Thysanoptera","Phlaeothripidae","hoplflav","Hoplothrips","flavitibia","transient","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Thysanoptera","Thripidae","helihaem","Heliothrips","haemorrhoidalis","herbivore","non-native","adult",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Staphylinidae","oligspu2","Oligota","sp_2","predator","native-endemic","adult",0.0708
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Ciidae","cisporc","Cis","porcatus","detritivore","native-endemic","adult",0.1238
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Ciidae","cisevan","Cis","evanescens","detritivore","native-endemic","adult",0.0452
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,5,"10/29/97","Insecta","Coleoptera","Aglycyderidae","protsu23","Proterhinus","sp_23","detritivore","native-endemic","adult",0.169
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu25","Proterhinus","sp_25","detritivore","native-endemic","adult",0.28
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Aglycyderidae","protsu27","Proterhinus","sp_27","detritivore","native-endemic","adult",0.282
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Heteroptera","Miridae","nesiehu","Nesiomiris","ehu","transient","native-endemic","adult",0.3288
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Heteroptera","Miridae","nesiehu","Nesiomiris","ehu","transient","native-endemic","immature",0.0071
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Heteroptera","Miridae","opunshar","Opuna","sharpianus luteus","herbivore","native-endemic","immature",0.1594
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Heteroptera","Pentatomidae","oechska1","Oechalia","sp_KA1","predator","native-endemic","immature",2.0346
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.4289
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.4289
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.4289
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.1399
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.1399
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.1399
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.1399
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.1399
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.1399
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.0206
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Delphacidae","leiakaua","Leialoha","kauaiensis","herbivore","native-endemic","immature",0.0206
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Homoptera","Cixiidae","oliacons","Oliarus","consimilis","transient","native-endemic","adult",1.4853
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Coleoptera","Carabidae","blacater","Blackburnia","aterrima","predator","native-endemic","adult",7.902
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Hymenoptera","Ichneumonidae","spoldeli","Spolas","delicata","predator","native-endemic","adult",0.3782
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Hymenoptera","Eulophidae","pauaswez","Pauahiana","swezeyi","predator","native-endemic","adult",0.0139
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Hymenoptera","Bethylidae","sierspuD","Sierola","sp_D","predator","native-endemic","adult",0.1905
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Hymenoptera","Encyrtidae","encysu22","Encyrtidae_g","sp_22","predator","undetermined","adult",0.0139
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Diptera","Psychodidae","trichawa","Trichomyia","hawaiiensis","unknown","native-endemic","adult",0.0153
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Diptera","Chironomidae","orthgrim","Orthocladius","grimshawi","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Orthoptera","Gryllidae","trigspu3","Trigonidium","sp_3","detritivore","native-endemic","adult",2.3551
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Orthoptera","Gryllidae","leptkaua","Leptogryllus","kauaiensis","detritivore","native-endemic","immature",9.4502
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,8,"10/30/97","Insecta","Orthoptera","Gryllidae","leptkaua","Leptogryllus","kauaiensis","detritivore","native-endemic","immature",12.2469
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","salicele","Salina","celebensis","detritivore","non-native","immature",0.0056
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Collembola","Entomobryidae","entolaha","Entomobrya","laha","detritivore","native-endemic","adult",0.0396
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Diptera","Sciaridae","platadro","Platosciara","adrostylata","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Diptera","Sciaridae","hypemagn","Hyperlasion","magnisensoria","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Diptera","Ceratopogonidae","forchard","Forcipomyia","hardyi","detritivore","native-endemic","adult",0.091
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","predator","native-endemic","adult",0.1905
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","predator","native-endemic","adult",0.1905
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Encyrtidae","micrflav","Microterys","flavus","predator","non-native","adult",0.0139
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Encyrtidae","hypespu2","Hypergonatopus","sp_2","predator","native-endemic","adult",0.0139
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Bethylidae","sierspuB","Sierola","sp_B","predator","native-endemic","adult",0.0725
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Pteromalidae","toxenubi","Toxeuma","nubilipennis","predator","native-endemic","adult",0.0725
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","predator","native-endemic","adult",0.1905
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Dryinidae","dicoperk","Dicondylus","perkinsi","predator","native-endemic","adult",0.1905
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Bethylidae","sierspuG","Sierola","sp_G","predator","native-endemic","adult",0.0725
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Bethylidae","sierspuB","Sierola","sp_B","predator","native-endemic","adult",0.0725
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Hymenoptera","Bethylidae","sierspuB","Sierola","sp_B","predator","native-endemic","adult",0.0725
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Nitidulidae","nesoflor","Nesopeplus","floricola","detritivore","native-endemic","adult",0.2918
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Nitidulidae","nesoflor","Nesopeplus","floricola","detritivore","native-endemic","adult",0.2918
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Nitidulidae","nesoflor","Nesopeplus","floricola","detritivore","native-endemic","adult",0.2918
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Coleoptera","Nitidulidae","nesoflor","Nesopeplus","floricola","detritivore","native-endemic","adult",0.2918
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Heteroptera","Nabidae","nabishar","Nabis","sharpianus","predator","native-endemic","adult",1.5501
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Heteroptera","Nabidae","nabimora","Nabis","morai","predator","native-endemic","adult",1.0147
"KA","Alakai"," Kauai",4.1,5.1,1.43,0.86,0.061,4,"10/29/97","Insecta","Heteroptera","Nabidae","nabimora","Nabis","morai","predator","native-endemic","immature",0.1509
