"bad_names","bad_name_match"
"Platosciara adrostylata","Plastosciara adrostylata"
"Nesopeplus floricola",""
"Tetragnatha maka","Tetragnatha hawaiensis, Tetragnatha kamakou, Tetragnatha kauaiensis, Tetragnatha macilenta, Tetragnatha macracantha, Tetragnatha mandibulata, Tetragnatha waikamoi"
"Plagiomeris hospes","Plagiomerus hospes"
"Cryptamorpha desjardinsi","Cryptamorpha desjardinsii"
"Tetragnatha hawaiiensis","Tetragnatha hawaiensis, Tetragnatha kauaiensis"
"Kuwayama cf_minuta",""
"Misumenops discretus",""
"Misumenops anguliventris","Misumena anguliventris"
"Havaika navatus","Havaika navata"
"Eupelmus chloropus","Eupelmus chioropus"
"Kilauella spp","Kilauella psylloides"
"Valenzuela badiostigma",""
"Tetracnemoidea brevicornis",""
"Greenidea formosana",""
"Anagyrus ?nigricans","Anagyrus nigricans"
"Hyalopeplus pellucida","Hyalopeplus pellucidus"
"Dicranomyia grimshawi",""
"Tetragnatha long clawed",""
"Nesopetinus rudis",""
"Dicranomyia swezeyi",""
"Cylindroiulus latestriatus","Cylindroiulus latistriatus"
"COLEOP COLEOP",""
"Metaphycus ?alberti","Metaphycus alberti"
"Dicranomyia stygipennis",""
"Tetragnatha golden dome",""
"Signiphora aspidioti",""
"Neseis fasciata","Neseis fasciata fasciata, Neseis fasciata convergens, Neseis fasciata hyalina"
"Aphanomerus rufescens",""
"Hypera postica",""
"Homoneura unguicalata","Homoneura unguiculata"
"Kilauella cf_micramaura","Kilauella micramaura"
"Stenocaecilius analis",""
"Hyles wilsoni wilsoni",""
"Ectopsocus briggsi",""
"Tetragnatha kea","Tetragnatha acuta, Tetragnatha anuenue, Tetragnatha eurychasma, Tetragnatha hawaiensis, Tetragnatha kamakou, Tetragnatha kauaiensis, Tetragnatha kikokiko, Tetragnatha kukuhaa, Tetragnatha kukuiki, Tetragnatha lena, Tetragnatha macilenta, Tetragnatha macracantha, Tetragnatha mandibulata, Tetragnatha netrix, Tetragnatha palikea, Tetragnatha paludicola, Tetragnatha panopea, Tetragnatha perkinsi, Tetragnatha perreirai, Tetragnatha quasimodo, Tetragnatha restricta, Tetragnatha tantalus, Tetragnatha waikamoi"
"Argyrodes argentatus",""
"Mecyclothorax molokiae","Mecyclothorax molokaiae"
"Cerchysiella ?perkinsi","Cerchysiella perkinsi"
"Dicranomyia kauaiensis","Dicranomyia hawaiiensis"
"Tenuiphantes tenuis",""
"Ptycta haleakalae","Ptycta haleakalae , Ptycta haleakalae hualalai, Ptycta haleakalae konae"
"Scaptomyza mauiense","Scaptomyza mauiensis"
"Metaphycus ?stanleyi","Metaphycus stanleyi"
"Oceanides gruneri",""
"Epuraea ocularis",""
