bad_names,bad_name_match
Platosciara adrostylata,Plastosciara adrostylata
Plagiomeris hospes,Plagiomerus hospes
Cryptamorpha desjardinsi,Cryptamorpha desjardinsii
Tetragnatha hawaiiensis,Tetragnatha hawaiensis
Misumenops anguliventris,Misumena anguliventris
Havaika navatus,Havaika navata
Eupelmus chloropus,Eupelmus chioropus
Hyalopeplus pellucida,Hyalopeplus pellucidus
Cylindroiulus latestriatus,Cylindroiulus latistriatus
Homoneura unguicalata,Homoneura unguiculata
Mecyclothorax molokiae,Mecyclothorax molokaiae
Ptycta haleakalae,Ptycta haleakalae
Scaptomyza mauiense,Scaptomyza mauiensis
